seller_id,seller_city,seller_state,total_orders,total_transaction_revenue,total_freight_value,total_payment_value,average_order_value,average_review_score,first_order_month,last_order_month,active_months,total_products_sold,processing_time_days,total_subscription_fee,length,recency,frequency,monetary,review,time_process,cluster
0015a82c2db000af6aaaf3ae2ecb0532,santo andre,SP,1.0,274.79999999999995,63.06,2748.06,895.0,5.0,2017-09,2017-10,2,1,1.7283217592592592,91.8,2.0,11.0,1.0,2748.06,3.6666666666666665,6.367141203703704,Regular Seller
001cca7ae9ae17fb1caed9dfb1094831,cariacica,ES,11.0,4715.28,8631.93,47151.700000000004,99.0,5.0,2017-02,2018-07,17,5,1.7280092592592593,780.3,18.0,2.0,11.0,47151.7,3.9742489270386265,8.14568287037037,Potensial Seller
002100f778ceb8431b7a1020ff7ab48f,franca,SP,6.0,241.34,810.42,2412.64,17.9,5.0,2017-09,2018-04,8,2,2.6410300925925925,367.2,8.0,5.0,6.0,2412.64,4.087719298245614,1.9085416666666664,Regular Seller
003554e2dce176b5555353e4f3555ac8,goiania,GO,1.0,13.94,19.38,139.38,120.0,5.0,2017-12,2017-12,1,1,0.5236226851851852,45.9,1.0,9.0,1.0,139.38,5.0,2.1372916666666666,Regular Seller
004c9cd9d87a3c30c522c48c4fc07416,ibitinga,SP,9.0,2753.4,4033.38,27533.95,109.99,5.0,2017-01,2018-05,17,4,1.047997685185185,780.3,17.0,4.0,9.0,27533.95,4.174863387978142,11.816620370370371,Potensial Seller
00720abe85ba0859807595bbf045a33b,guarulhos,SP,1.0,311.84999999999997,315.98,3118.4,14.8,4.0,2018-01,2018-08,8,7,1.825798611111111,367.2,8.0,1.0,1.0,3118.4,3.6538461538461537,0.2989351851851852,Regular Seller
00ab3eff1b5192e5f1a63bcecfee11c8,sao paulo,SP,1.0,11.01,12.08,110.08,98.0,5.0,2017-03,2017-03,1,1,3.898761574074074,45.9,1.0,18.0,1.0,110.08,5.0,1.5397800925925926,Regular Seller
00d8b143d12632bad99c0ad66ad52825,belo horizonte,MG,1.0,13.71,51.1,137.1,86.0,5.0,2018-03,2018-03,1,1,1.6170833333333334,45.9,1.0,6.0,1.0,137.1,5.0,-0.1811111111111111,Regular Seller
00ee68308b45bc5e2660cd833c3f81cc,sao paulo,SP,11.0,3492.36,3171.43,34923.34,110.0,5.0,2017-09,2018-07,11,8,1.2709143518518518,504.9,12.0,1.0,11.0,36955.08,4.269230769230769,7.251631944444444,Potensial Seller
00fc707aaaad2d31347cf883cd2dfe10,maringa,PR,17.0,2792.09,2356.71,27921.49,86.0,4.0,2018-01,2018-06,6,5,1.9182349537037036,275.4,6.0,3.0,17.0,27921.49,3.7285714285714286,1.0097685185185186,Potensial Seller
010543a62bd80aa422851e79a3bc7540,sao paulo,SP,1.0,144.79000000000002,31.950000000000003,1447.95,708.0,4.5,2017-07,2017-08,2,1,2.8833506944444443,91.8,2.0,13.0,1.0,1447.95,4.5,2.290810185185185,Regular Seller
010da0602d7774602cd1b3f5fb7b709e,sao bernardo do campo,SP,1.0,539.9,230.25,5398.75,169.9,1.0,2018-06,2018-06,1,5,20.720659722222223,45.9,1.0,3.0,1.0,5398.75,1.0,2.869375,Regular Seller
011b0eaba87386a2ae96a7d32bb531d1,pompeia,SP,1.0,25.84,29.18,258.32,49.99,4.0,2016-10,2016-10,1,2,14.547708333333333,45.9,1.0,23.0,1.0,258.32,4.0,0.7344907407407407,Regular Seller
01266d4c46afa519678d16a8b683d325,curitiba,PR,3.0,13.76,47.230000000000004,137.48,23.4,5.0,2018-08,2018-08,1,1,0.8200810185185186,45.9,1.0,1.0,3.0,137.48,5.0,5.6025,Regular Seller
013900e863eace745d3ec7614cab5b1a,curitiba,PR,3.0,265.93,483.77,2659.19,56.8,5.0,2017-03,2018-04,7,3,2.0930439814814816,321.3,14.0,5.0,3.0,2659.19,4.7407407407407405,5.6025,Regular Seller
014c0679dd340a0e338872e7ec85666a,timoteo,MG,1.0,842.36,649.65,8423.67,379.0,4.0,2017-01,2018-07,12,2,4.214143518518519,550.8,19.0,2.0,1.0,8423.67,3.625,0.133912037037037,Regular Seller
014d9a685fd57276679edd00e07089e5,maringa,PR,2.0,131.76,146.93,1317.47,64.99,4.5,2017-11,2018-08,5,3,2.1833391203703703,229.5,10.0,1.0,2.0,1317.47,3.8333333333333335,2.2365856481481483,Regular Seller
0176f73cc1195f367f7b32db1e5b3aa8,ibitinga,SP,3.0,631.37,1282.8500000000001,6313.18,122.9,5.0,2017-11,2018-08,10,2,1.4181828703703703,459.0,10.0,1.0,3.0,6416.22,4.076923076923077,4.7284375,Regular Seller
01bcc9d254a0143f0ce9791b960b2a47,uruacu,GO,2.0,164.48000000000002,303.68,1644.69,119.57,4.0,2017-08,2018-02,5,1,0.6466493055555556,229.5,7.0,7.0,2.0,1644.69,4.333333333333333,0.4981365740740741,Regular Seller
